Data;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
jan/04;1574,43434;4457,11238;14929,5244;4510,11304;1507,17386
fev/04;1507,44859;4139,768;14714,71351;4690,22786;1456,01281
mar/04;1574,17669;4372,74311;14903,79568;4898,7704;1534,84353
abr/04;1598,86211;4461,99948;15501,32296;4873,31114;1610,686661
mai/04;1625,47892;4423,58452;14906,62872;4723,02616;1565,78816
jun/04;1641,38191;4409,30174;14898,51741;4556,56356;1577,19686
jul/04;1665,00257;4376,17412;15094,28546;4598,79289;1611,74963
ago/04;1729,89589;4438,51459;15189,57487;4653,18244;1645,69
set/04;1687,15654;4570,03034;15593,68574;4654,41158;1727,16704
out/04;1724,16675;4657,88099;15839,87716;4590,6975;1743,49854
nov/04;1719,63846;4708,46483;15804,79418;4529,41923;1604,80735
dez/04;1740,62086;4770,50972;15750,64795;4665,21436;1635,11354
jan/05;1687,53858;4775,17593;15518,48833;4809,41619;1584,818411
fev/05;1619,12437;4526,03811;15157,05486;4966,58586;1569,67777
mar/05;1669,59753;4692,20149;15516,64787;5069,87321;1650,311409
abr/05;1651,88651;4675,41548;16304,4076;4997,00814;1726,78418
mai/05;1689,40858;4738,60068;15581,96343;4799,82058;1672,35734
jun/05;1692,28796;4575,21483;15633,86699;4760,32379;1664,48835
jul/05;1718,91778;4643,77848;15509,11844;4724,56206;1725,94036
ago/05;1725,45731;4739,65056;15838,51663;4743,65899;1717,071319
set/05;1752,1608;4763,78085;16391,98883;4654,13124;1773,06636
out/05;1796,17841;4849,53918;16074,84855;4668,76235;1755,98356
nov/05;1787,68674;4919,39114;16089,44292;4748,34243;1742,75399
dez/05;1774,26842;5005,4639;16116,89427;4948,74288;1659,7766
jan/06;1727,93186;4913,18187;15695,62021;4927,59977;1616,57691
fev/06;1646,3519;4704,04108;16178,81762;5187,22233;1667,05357
mar/06;1741,05995;4976,02188;16273,21675;5211,50939;1696,01976
abr/06;1733,65339;4856,33837;16494,21843;5062,54287;1741,19995
mai/06;1753,95919;4793,83155;15885,83452;4807,141;1684,2723
jun/06;1761,92003;4769,52206;15969,88301;4879,78577;1687,68673
jul/06;1812,92925;4760,16014;15981,70652;4847,3731;1711,64022
ago/06;1851,94288;4939,39963;16352,06978;4957,96101;1784,86276
set/06;1886,31446;4950,95307;16434,26618;4841,50243;1803,594399
out/06;1899,95941;5141,50093;16453,39774;4852,3845;1796,28274
nov/06;1871,57361;5132,73146;16722,62348;5043,94926;1760,24355
dez/06;1864,36994;5122,70951;16689,64817;5074,87527;1742,37614
jan/07;1833,708;5184,828;16699,87;5203,429;1777,869
fev/07;1752,986;4883,152;16615,359;5351,937;1721,235
mar/07;1820,537;4985,447;17288,542;5424,059;1794,315
abr/07;1832,867;5117,947;17761,372;5404,659;1913,899
mai/07;1889,427;5132,742;17290,528;5219,841;1850,379
jun/07;1899,318;5079,581;16890,489;5114,607;1782,765
jul/07;1912,792;5131,886;16589,542;5056,898;1809,181
ago/07;1950,708;5212,952;16970,732;5194,645;1852,096
set/07;1964,607;5148,024;17585,51;5157,841;1879,754
out/07;2006,525;5440,994;17488,65;5240,394;1959,172
nov/07;1995,582;5502,715;17983,265;5294,91;1878,019
dez/07;1991,017;5546,78;17621,312;5333,163;1812,654
jan/08;1890,32;5505,38927;17157,633;5491,078;1811,526
fev/08;1836,296;5284,76965;17088,727;5689,547;1831,601
mar/08;1900,506;5365,90586;17293,931;5723,834;1834,538
abr/08;1888,899;5266,62129;17284,914;5604,344;1907,878
mai/08;1933,034;5436,90739;17577,262;5382,338;1970,422
jun/08;1980,943;5241,03479;17180,445;5368,281;1972,284
jul/08;1998,546;5334,19003;17451,996;5419,027;1946,593
ago/08;2066,807;5400,23063;17983,892;5520,183;2042,416
set/08;2112,487;5461,71369;17869,017;5412,749;2108,12
